Directory Name,Current Status,Name Listed,Address Listed,Phone Listed,Website Listed,Email Listed,Category Listed,Last Updated,Action Required,Priority Level,Notes
Google Business Profile,To Verify,Issaquah Kids Dentistry,85 NW Alder Pl Suite B Issaquah WA 98027,(425) 657-0609,https://issaquahkidsdentistry.com,office@IssaquahKidsDentistry.com,Pediatric Dentist,,Verify accuracy,Critical,Primary local listing
Yelp,To Verify,,,,,,,Verify NAP,High,Major review platform
Healthgrades,To Verify,,,,,,,Verify NAP,High,Medical authority site
WebMD,To Verify,,,,,,,Verify NAP,High,Medical directory
Vitals.com,To Verify,,,,,,,Verify NAP,Medium,Doctor rating site
Zocdoc,To Verify,,,,,,,Verify NAP,Medium,Appointment booking
Delta Dental Directory,To Verify,,,,,,,Verify NAP,High,Insurance provider
Aetna Provider Directory,To Verify,,,,,,,Verify NAP,High,Insurance provider
Cigna Provider Directory,To Verify,,,,,,,Verify NAP,High,Insurance provider
Premera Provider Directory,To Verify,,,,,,,Verify NAP,High,Insurance provider
United Healthcare Directory,To Verify,,,,,,,Verify NAP,High,Insurance provider
Yellow Pages,To Verify,,,,,,,Verify NAP,Medium,Traditional directory
Superpages,To Verify,,,,,,,Verify NAP,Medium,Local directory
MapQuest,To Verify,,,,,,,Verify NAP,Medium,Map service
Apple Maps,To Verify,,,,,,,Verify NAP,Medium,Apple ecosystem
Bing Places,To Verify,,,,,,,Verify NAP,Medium,Microsoft search
Facebook Business,To Verify,,,,,,,Verify NAP,Medium,Social media platform
Nextdoor Business,To Verify,,,,,,,Verify NAP,Medium,Neighborhood network
Angie's List,To Verify,,,,,,,Verify NAP,Medium,Service directory
Better Business Bureau,To Verify,,,,,,,Verify NAP,Medium,Business credibility
Foursquare,To Verify,,,,,,,Verify NAP,Low,Location service
TripAdvisor,To Verify,,,,,,,Verify NAP,Low,Review platform
Chamber of Commerce,To Verify,,,,,,,Verify NAP,Medium,Local business
Washington State Dental Assoc,To Verify,,,,,,,Verify NAP,Medium,Professional organization
Issaquah Chamber of Commerce,To Verify,,,,,,,Verify NAP,Medium,Local chamber
